WTSIi117-A	SAMEA2398043###HPSI0613i-liun_2	SAMEA2398043
WTSIi118-A	SAMEA2399460###HPSI0813i-meqo_2	SAMEA2399460
WTSIi119-A	SAMEA2397854###HPSI0613i-oefg_2	SAMEA2397854
WTSIi120-A	SAMEA2398634###HPSI0513i-oeoo_2	SAMEA2398634
WTSIi121-A	SAMEA2398316###HPSI0413i-ougl_1	SAMEA2398316
WTSIi121-B	SAMEA2398428###HPSI0413i-ougl_3	SAMEA2398428
WTSIi122-A	SAMEA2399200###HPSI0413i-peop_2	SAMEA2399200
WTSIi123-A	SAMEA2398442###HPSI0713i-qimz_1	SAMEA2398442
WTSIi124-A	SAMEA2398137###HPSI0713i-ruyv_1	SAMEA2398137
WTSIi124-B	SAMEA2399040###HPSI0713i-ruyv_3	SAMEA2399040
WTSIi125-A	SAMEA2397812###HPSI0413i-uahf_3	SAMEA2397812
WTSIi126-A	SAMEA2399121###HPSI0913i-vopm_2	SAMEA2399121
WTSIi127-A	SAMEA2399123###HPSI0413i-xekf_1	SAMEA2399123
WTSIi128-A	SAMEA2397955###HPSI0413i-yuze_1	SAMEA2397955
WTSIi129-A	SAMEA2398851###HPSI0613i-zisa_3	SAMEA2398851
WTSIi130-A	SAMEA2398712###HPSI0713i-aehn_22	SAMEA2398712
WTSIi131-A	SAMEA2398868###HPSI0513i-aipt_33	SAMEA2398868
WTSIi132-A	SAMEA2493816###HPSI0613i-bawa_1	SAMEA2493816
WTSIi133-A	SAMEA2398125###HPSI0713i-dard_1	SAMEA2398125
WTSIi133-B	SAMEA2397935###HPSI0713i-dard_2	SAMEA2397935
WTSIi134-A	SAMEA2398925###HPSI0513i-dulv_1	SAMEA2398925
WTSIi134-B	SAMEA2398957###HPSI0513i-dulv_2	SAMEA2398957
WTSIi135-A	SAMEA2612471###HPSI0214i-feec_2	SAMEA2612471
WTSIi136-A	SAMEA2399071###HPSI0913i-iuqb_1	SAMEA2399071
WTSIi137-A	SAMEA2398446###HPSI0613i-lizq_1	SAMEA2398446
WTSIi137-B	SAMEA2399088###HPSI0613i-lizq_3	SAMEA2399088
WTSIi138-A	SAMEA2724743###HPSI0414i-mita_2	SAMEA2724743
WTSIi139-A	SAMEA2459970###HPSI1113i-oaaz_2	SAMEA2459970
WTSIi140-A	SAMEA2398841###HPSI0613i-oomz_22	SAMEA2398841
WTSIi141-A	SAMEA2399142###HPSI0613i-qanu_1	SAMEA2399142
WTSIi142-A	SAMEA2398374###HPSI0613i-qony_1	SAMEA2398374
WTSIi144-A	SAMEA2547631###HPSI0114i-wegi_1	SAMEA2547631
WTSIi145-A	SAMEA2697658###HPSI0813i-wots_3	SAMEA2697658
WTSIi146-A	SAMEA2678739###HPSI0613i-xosg_2	SAMEA2678739
WTSIi147-A	SAMEA2398395###HPSI1013i-mijn_2	SAMEA2398395
WTSIi148-A	SAMEA2464772###HPSI0114i-veui_3	SAMEA2464772
WTSIi149-A	SAMEA3356002###HPSI0913i-laia_4	SAMEA3356002
WTSIi150-A	SAMEA2729778###HPSI0414i-jetz_1	SAMEA2729778
WTSIi151-A	SAMEA2757093###HPSI0414i-fixm_2	SAMEA2757093
WTSIi152-A	SAMEA2769874###HPSI0414i-eafb_1	SAMEA2769874
WTSIi153-A	SAMEA2769876###HPSI0414i-puvg_1	SAMEA2769876
WTSIi154-A	SAMEA2777396###HPSI0414i-lavd_2	SAMEA2777396
WTSIi155-A	SAMEA2777391###HPSI0414i-hutq_1	SAMEA2777391
WTSIi156-A	SAMEA2794309###HPSI0414i-xugr_2	SAMEA2794309
WTSIi158-A	SAMEA3313418###HPSI0914i-fuhz_1	SAMEA3313418
WTSIi159-A	SAMEA3336930###HPSI0714i-gibe_2	SAMEA3336930
WTSIi160-A	SAMEA3340804###HPSI0914i-verf_1	SAMEA3340804
WTSIi161-A	SAMEA3355533###HPSI0714i-rajk_1	SAMEA3355533
WTSIi162-A	SAMEA3355534###HPSI0914i-lopq_1	SAMEA3355534
WTSIi163-A	SAMEA3355538###HPSI1014i-suok_3	SAMEA3355538
WTSIi164-A	HPSI0614i-foyj_1	SAMEA3355547
WTSIi165-A	SAMEA3358976###HPSI0414i-reng_4	SAMEA3358976
WTSIi166-A	SAMEA3374096###HPSI0414i-wize_1	SAMEA3374096
WTSIi167-A	SAMEA2398081###HPSI1013i-funy_1	SAMEA2398081
WTSIi168-A	SAMEA3969686###HPSI0214i-poih_4	SAMEA3969686
WTSIi168-B	SAMEA3968761###HPSI0214i-poih_2	SAMEA3968761
WTSIi169-A	SAMEA3962387###HPSI0614i-miaj_6	SAMEA3962387
