HPSI0816i-oexh_4	oexh_4	SAMEA104012015
HPSI0816i-oemk_4	oemk_4	SAMEA104012030
HPSI0516i-kumr_9	kumr_9	SAMEA104012237
HPSI0916i-xajl_3	xajl_3	SAMEA104012012
HPSI1116i-uacs_1	uacs_1	SAMEA104012316
HPSI0516i-pebf_5	pebf_5	SAMEA104012310
HPSI1116i-codc_3	codc_3	SAMEA104012372
HPSI0414i-zazi_6	zazi_6	SAMEA3976799
HPSI1116i-uacs_6	uacs_6	SAMEA104012375
HPSI1116i-zalc_2	zalc_2	SAMEA104012367
HPSI1116i-rumd_5	rumd_5	SAMEA104012383
HPSI0516i-kumr_13	kumr_13	SAMEA104012388
HPSI0714i-mitg_1	mitg_1	SAMEA3310757
HPSI0714i-mitg_6	mitg_6	SAMEA3310761
HPSI0414i-biiw_3	biiw_3	SAMEA2733283
HPSI0714i-zaos_2	zaos_2	SAMEA3340806
HPSI0414pf-cekz	cekz	SAMEA2464773
HPSI0414i-cekz_3	cekz_3	SAMEA2698310
HPSI0514i-aomr_2	aomr_2	SAMEA4085303
HPSI0514i-mure_2	mure_2	SAMEA4092058
HPSI0115i-tiku_1	tiku_1	SAMEA104237551
HPSI0913i-tozk_3	tozk_3	SAMEA2398793
HPSI0613i-iurx_1	iurx_1	SAMEA2398135
HPSI0316i-aolj_12	aolj_12	SAMEA104241730
HPSI0316i-aolj_9	aolj_9	SAMEA104241758
HPSI0316i-beqm_12	beqm_12	SAMEA104242355
HPSI0316i-beqm_9	beqm_9	SAMEA104242350
HPSI0614i-xubw_3	xubw_3	SAMEA104241752
HPSI1116i-peru_4	peru_4	SAMEA104241736
HPSI0816i-keha_6	keha_6	SAMEA104241745
HPSI0816i-keha_1	keha_1	SAMEA104241749
HPSI0416i-uavt_14	uavt_14	SAMEA104241754
HPSI0716i-tupw_15	tupw_15	SAMEA104241742
HPSI0713i-yezj_3	yezj_3	SAMEA2469764
HPSI0313i-xovo_1	xovo_1	SAMEA2398521
HPSI1013i-woci_2	woci_2	SAMEA2399043
HPSI0114pf-wegi	wegi	SAMEA2398281
HPSI0614i-fovu_1	fovu_1	SAMEA3974869
HPSI1116i-zazt_6	zazt_6	SAMEA104132906
HPSI0616i-vaqx_3	vaqx_3	SAMEA104012232
HPSI0316i-beqm_4	beqm_4	SAMEA4448523
HPSI0216i-dacv_5	dacv_5	SAMEA4451168
HPSI0616i-rurd_3	rurd_3	SAMEA104012240
HPSI0916i-wajx_3	wajx_3	SAMEA103887524
HPSI0616i-aaox_5	aaox_5	SAMEA103885998
HPSI1116i-zehh_1	zehh_1	SAMEA104134254
HPSI1116i-zehh_6	zehh_6	SAMEA104134243
HPSI1116i-eike_6	eike_6	SAMEA104134263
HPSI1116i-eike_1	eike_1	SAMEA104134249
HPSI1116i-eiyy_3	eiyy_3	SAMEA104134247
